root_id,positions
720575940613726179,88121.0;43791.0;5726.0|88121.0;43791.0;5726.0|81622.0;60130.0;5057.0
720575940623219453,157856.0;54045.0;1397.0|151982.0;51629.0;2731.0|157979.0;54052.0;1380.0|157978.0;54054.0;1380.0
720575940613998790,178353.0;55874.0;1427.0|172186.0;56141.0;1592.0
720575940620628957,129191.0;25839.0;1697.0
720575940623081400,130942.0;23752.0;2027.0
720575940622897639,128801.0;23176.0;2207.0|130884.0;40225.0;1715.0
720575940650527222,129270.0;23627.0;2708.0|130930.0;49134.0;1390.0|129754.0;23838.0;2712.0
720575940632112429,110248.0;69401.0;1254.0
720575940626608401,153443.0;83689.0;1881.0|153503.0;83604.0;1868.0
720575940646663044,143012.0;51555.0;731.0|121793.0;65318.0;2307.0|119706.0;68424.0;2310.0
720575940613958194,118947.0;103788.0;6364.0|132720.0;82229.0;5798.0|133549.0;85424.0;4873.0|133549.0;85424.0;4873.0|133549.0;85424.0;4873.0|133549.0;85424.0;4873.0
720575940632869823,81701.0;63720.0;6834.0
720575940636242153,86383.0;64694.0;6680.0
720575940636608142,142532.0;49619.0;514.0|99731.0;33329.0;3529.0
720575940642066376,80143.0;62366.0;6705.0
720575940612194611,81671.0;67760.0;6841.0
720575940621309934,76224.0;67392.0;6675.0|73221.0;51272.0;6183.0
720575940637671795,82787.0;63368.0;6753.0
720575940629080394,86378.0;67357.0;6652.0|73476.0;61106.0;6367.0
720575940615325607,61030.0;56473.0;5691.0|61413.0;67812.0;5563.0|60688.0;64808.0;5616.0|61323.0;68245.0;5573.0|61041.0;56471.0;5702.0|61029.0;54260.0;5813.0
720575940615605649,85430.0;65161.0;6836.0
720575940608054852,86193.0;64781.0;6742.0
720575940612743330,83025.0;67823.0;6737.0
720575940623088398,82783.0;67390.0;6908.0
720575940621659114,82176.0;67099.0;6916.0
720575940622519748,92317.0;65806.0;6520.0|92350.0;65790.0;6515.0|105388.0;56929.0;4827.0
720575940623089166,81899.0;67801.0;6898.0
720575940620566998,83413.0;67143.0;6901.0
720575940645450116,80461.0;67510.0;6861.0
720575940630314543,84833.0;65618.0;6882.0
720575940616316741,84277.0;65802.0;6786.0
720575940632380178,87477.0;64429.0;6677.0|70868.0;62136.0;6593.0|70883.0;62060.0;6588.0
720575940634562917,84828.0;75586.0;6452.0
720575940635960292,159149.0;42862.0;1254.0|152295.0;42504.0;2086.0
720575940611667173,140834.0;50673.0;720.0|123917.0;64627.0;2372.0|123909.0;64589.0;2369.0
720575940614686003,146563.0;50534.0;403.0|141651.0;57359.0;1734.0
720575940628485596,93191.0;45674.0;5522.0
720575940630546302,165842.0;51407.0;5062.0|155839.0;51478.0;2769.0|163650.0;52212.0;4456.0|159223.0;51712.0;3464.0
720575940620074778,94540.0;41780.0;5575.0
720575940626705029,117030.0;46149.0;5239.0|119461.0;51169.0;3572.0|114474.0;55996.0;3371.0
720575940644733806,112995.0;54282.0;5604.0|108405.0;45798.0;4051.0|107082.0;45746.0;3919.0
720575940627080872,140564.0;49931.0;438.0|119197.0;70596.0;2370.0
720575940628842314,146250.0;50368.0;563.0|142859.0;55530.0;1534.0
720575940619756411,89929.0;67504.0;6555.0|90039.0;65101.0;6555.0
720575940634102639,140964.0;50266.0;590.0
